index,true_answer,pred_answer,is_correct,model_output_raw
241,B,B,True,B
252,B,B,True,B
253,A,A,True,A. the temperature of the soda
254,B,B,True,B. the air pressure in the footballs
256,A,A,True,A
258,B,B,True,B
261,B,B,True,B
264,B,B,True,B
267,A,A,True,A. a seed
269,A,A,True,A. northern flying squirrel
274,B,B,True,B. tiger moray
278,B,B,True,B. polar bear
293,A,A,True,A
295,B,B,True,B. salty
302,B,B,True,B. a compound
308,A,A,True,A. to the right than to the left
313,A,A,True,A. to the right than to the left
316,B,B,True,B. a compound
344,B,B,True,B. Maryland
355,A,A,True,A
362,B,B,True,B. yes
364,B,B,True,B. no
365,B,B,True,B. True
370,B,A,False,A. True
371,A,A,True,A. weather
377,B,A,False,A. ginkgo leaf
388,B,B,True,B. They curl up into a ball.
399,A,A,True,A. the bananas
401,A,A,True,A
403,B,B,True,B. John Henry beats the machine.
404,B,B,True,B
407,B,B,True,B. before sumo wrestling
410,B,B,True,B
419,B,A,False,A.
426,B,B,True,B. largest
428,A,A,True,A
442,A,A,True,A. when a river next to the school over
448,B,B,True,B. chrysalis
449,A,A,True,A. endotherms
452,A,A,True,A
453,B,B,True,B. Strombolian eruption
454,A,B,False,B. dicot
477,B,B,True,B. convection
478,B,B,True,B. xylem
480,B,A,False,A
481,A,B,False,B. concave lens
482,A,A,True,A. basket star
484,A,A,True,A. prokaryotic cell
485,B,B,True,B
486,B,B,True,B. potential energy
487,B,B,True,B
488,B,B,True,B. radial symmetry
858,A,A,True,A. Repel.
863,A,A,True,A. Repel.
1085,A,A,True,A. yes
1086,A,A,True,A. yes
1087,B,B,True,B. no
1088,B,B,True,B. no
1231,A,A,True,A. The first image
1232,A,A,True,A. The first image
1234,B,B,True,B. The second image
1235,A,A,True,A. The first image
1237,B,B,True,B. The second image
1238,B,B,True,B. The second image
1242,B,B,True,B. The second image
1243,B,B,True,B. The second image
1244,B,B,True,B. The second image
1247,A,A,True,A. The first image
1248,A,A,True,A. The first image
1251,A,A,True,A. The first image
1253,A,A,True,A. The first image
1254,A,A,True,A. The first image
1255,A,A,True,A. The first image
1256,A,B,False,B. The second image
1257,B,B,True,B. The second image
1258,A,A,True,A. The first image
1259,A,A,True,A. The first image
1262,A,A,True,A. The first image
1264,A,A,True,A. The first image
1267,B,B,True,B. The second image
1268,B,B,True,B. The second image
1269,B,B,True,B. The second image
1270,A,A,True,A
1273,B,B,True,B. The second image
1275,A,A,True,A. The first image
1276,A,A,True,A. The first image
1277,B,B,True,B. The second image
1278,B,B,True,B. The second image
1279,A,A,True,A. The first image
34,A,A,True,A
51,D,D,True,D
168,B,B,True,B
244,A,A,True,A
270,A,A,True,A
282,A,A,True,A. The strength of the magnetic force is the
284,C,C,True,C. The magnitude of the magnetic force is greater
285,A,A,True,A. The magnitude of the magnetic force is the
288,C,A,False,A. The magnitude of the magnetic force is greater
289,B,C,False,C. flexible
290,C,C,True,C. The magnitude of the magnetic force is smaller
292,B,A,False,A. The magnitude of the magnetic force is smaller
294,A,A,True,A. The magnetic force is stronger in Pair 
300,A,A,True,A. sample A
304,A,A,True,A. chlorine
305,A,A,True,A. Solution B
306,C,C,True,C. Solution B
307,A,A,True,A. Solution A
309,A,A,True,A. Solution B
311,C,B,False,B. Solution A
312,C,C,True,C. Solution B
318,B,B,True,B. Solution B
319,B,B,True,B. Solution B
366,C,C,True,C. long legs
374,C,C,True,C. metamorphic
385,B,B,True,B. keep warm
389,A,A,True,A
391,C,C,True,C
406,A,C,False,C. ethos (character)
408,A,B,False,B. pathos (emotion)
411,C,C,True,C. pathos (emotion)
414,C,C,True,C. logos (reason)
415,A,A,True,A. ethos (character)
416,A,A,True,A
418,C,C,True,C. ethos (character)
420,B,B,True,B. pathos (emotion)
421,B,B,True,B
422,C,C,True,C
424,A,A,True,A
425,B,B,True,B
427,B,B,True,B. the lioness's cubs will survive
431,B,B,True,B. bat
432,A,A,True,A. the female's offspring will live longer
433,A,C,False,C. It eats leaves.
434,B,B,True,B
435,C,C,True,"C. They have warm, salty water."
438,A,A,True,A
440,B,B,True,B. the female's offspring will survive
444,B,B,True,B. Hurricanes are large spiral-shaped storms.
445,B,B,True,B. He smelled sulfur and then realized it was
471,A,A,True,A. Other civilizations existed at the same time as
473,A,A,True,A
607,A,A,True,A. cube
608,A,A,True,A. cube
609,B,B,True,B. sphere
610,C,B,False,B. sphere
828,A,A,True,A
832,A,A,True,A. predation
833,A,A,True,A. predation
835,B,B,True,B. mutualism
837,B,B,True,B. mutualism
838,B,B,True,B. mutualism
840,B,A,False,A
841,B,B,True,B. mutualism
845,C,C,True,C. parasitism
846,C,C,True,C. parasitism
1009,A,A,True,A. The orange is next to the apple
1012,B,B,True,B
1092,B,B,True,B. Not the same
1093,B,B,True,B. Not the same
1096,B,B,True,B. Not the same
1097,B,B,True,B. Not the same
1099,B,B,True,B. Not the same
1102,A,A,True,A. same
1103,B,B,True,B. Not the same
1104,B,B,True,B. Not the same
1105,A,B,False,B. Not the same
1106,B,B,True,B. Not the same
1107,B,A,False,A. same
1108,B,B,True,B. Not the same
1109,B,B,True,B. Not the same
1110,B,B,True,B. Not the same
1112,B,B,True,B. Not the same
1113,A,B,False,B. Not the same
1114,A,A,True,A. same
1116,A,B,False,B. Not the same
1117,B,B,True,B. Not the same
1118,B,B,True,B. Not the same
1120,B,B,True,B. Not the same
1121,B,B,True,B. Not the same
1122,A,A,True,A. same
1123,A,A,True,A. same
1124,A,B,False,B. Not the same
1125,B,B,True,B. Not the same
1127,B,B,True,B. Not the same
1128,B,B,True,B. Not the same
1129,B,B,True,B. Not the same
1130,B,A,False,A. same
1131,B,B,True,B. Not the same
1133,B,B,True,B. Not the same
1137,B,B,True,B. Not the same
1189,A,A,True,A. this person is gonna cry
1192,B,B,True,B
1193,B,D,False,D
1195,A,C,False,C. this person is gonna get mad
1198,A,D,False,D
1199,B,B,True,B. the car is gonna crash into the fence
1200,B,D,False,D
1201,C,C,True,C. this person is gonna fall into the water
1204,A,B,False,B
1205,A,D,False,D
1208,C,D,False,D
1209,A,D,False,D
1210,A,D,False,D
1211,B,D,False,D
1212,B,B,True,B
1213,A,D,False,D
1214,C,C,True,C
1215,C,D,False,D
1217,A,D,False,D
1218,C,C,True,C
1219,A,D,False,D
1221,D,D,True,D
1224,C,B,False,B. the man is gonna lift up the weight
1226,A,D,False,D
1227,B,D,False,D
1229,A,D,False,D
1230,B,D,False,D
1544,A,A,True,A
1545,A,A,True,A
1546,C,A,False,A
1547,C,C,True,C
1548,C,C,True,C
1549,B,A,False,A
1550,A,A,True,A
1551,B,B,True,B
1552,A,A,True,A
1553,A,A,True,A
1554,C,A,False,A
1555,D,A,False,A
1557,C,A,False,A
1561,D,C,False,C
1563,D,B,False,B
1564,D,D,True,D
1566,D,A,False,A
1567,D,D,True,D
1568,D,B,False,B
1569,D,A,False,A
1570,D,A,False,A
1,D,D,True,D
2,D,D,True,D
7,B,B,True,B
8,A,A,True,A
9,B,B,True,B
11,A,A,True,A
12,B,C,False,C
16,A,D,False,D
18,B,B,True,B
21,B,B,True,B
22,A,A,True,A
24,D,D,True,D
25,D,D,True,D
27,D,D,True,D
28,A,A,True,A
30,A,A,True,A
38,A,A,True,A
45,B,B,True,B
46,D,D,True,D
47,B,B,True,B
48,A,A,True,A
49,D,D,True,D
50,A,A,True,A
53,A,A,True,A
54,A,A,True,A
55,D,D,True,D
57,A,A,True,A
58,B,B,True,B
62,C,C,True,C
64,D,D,True,D
67,D,D,True,D
68,B,B,True,B
69,B,B,True,B
70,C,C,True,C
72,D,D,True,D
73,D,D,True,D
74,A,A,True,A
75,D,D,True,D
78,D,D,True,D
82,A,A,True,A
85,C,C,True,C
86,D,D,True,D
88,A,A,True,A
89,A,A,True,A
91,B,B,True,B
92,C,C,True,C
94,C,C,True,C
95,A,A,True,A
97,A,A,True,A
99,C,C,True,C
100,D,D,True,D
101,B,B,True,B
102,B,B,True,B
107,C,C,True,C
108,C,C,True,C
109,D,D,True,D
112,C,C,True,C. A soccer player looks up at a soccer
114,C,C,True,C
115,A,A,True,A
116,A,A,True,A
118,C,C,True,C
121,A,A,True,A
122,C,C,True,C
124,B,B,True,B
126,B,B,True,B
133,C,C,True,C
134,B,B,True,B
137,C,C,True,C. The cake has been served and enjoyed by
138,C,C,True,C
139,D,D,True,D
144,D,D,True,D
145,B,B,True,B
146,A,A,True,A
148,A,A,True,A
149,B,B,True,B. The presence of at least 10
151,B,B,True,B
153,A,A,True,A
155,A,A,True,A
158,C,C,True,C
159,A,A,True,A
162,A,A,True,A
164,B,B,True,B
166,A,A,True,A
167,B,D,False,D
170,A,A,True,A
174,A,A,True,A
182,C,C,True,"C. The skateboarder's impressive skill, balance"
183,C,C,True,C. To protect their clothes and belongings from getting
184,B,B,True,B
190,A,A,True,A
